Czech,English
špatný,bad
vždycky,always
procento,percent
podobný,similar
chodit,walk
zdát,to dream
ulice,street
zákon,law
typ,type
hodnota,value
pocit,feeling
stav,state
černý,black
okno,window
dávat,give
věřit,believe
počet,number
právo,right
směr,direction
zatím,yet
zatímco,while
otevřít,open
platit,pay
spolu,together
smrt,death
stůl,table
opět,again
bod,point
tým,team
zájem,interest
vláda,government
silný,strong
prostě,just
přesně,exactly
trh,market
hlavně,mainly
kraj,region
jednotlivý,individual
současný,present
jednat,act
světlo,light
podmínka,condition
zjistit,to find out
lidský,human
tvůj,your
zda,whether
zápas,wrestle
zejména,especially
psát,write
těžký,heavy
deset,ten
změnit,alter
i,and
pokračovat,continue
no,well
jet,go
prostředí,environment
držet,hold
umět,to be able to
válka,war
nízký,low
hledat,search
cíl,target
zároveň,at the same time
představovat,represent
dívat,to watch
určitý,certain
určitě,certainly
naopak,on the contrary
skončit,end
více,more
pokoj,room
jednou,once
rodič,parent
vedle,next to
jasný,clear
používat,use
osoba,person
řešení,solution
barva,color
kolo,wheel
začínat,to begin
považovat,to consider
jenže,but
funkce,function
stavba,building
základ,basis
podařit,to succeed
působit,act
smysl,meaning
číslo,number
skutečnost,fact
role,role
sice,although
metr,meter
Evropa,Europe
potřeba,need
rozdíl,difference
zpráva,message
představit,introduce
odpovědět,reply
zdroj,source
nabízet,to offer
domácí,home
energie,energy
krok,step
vyjít,go out
ležet,lie
sociální,social
prý,supposedly
brát,take
třetí,third
doma,at home
státní,national
americký,American
centrum,center
sledovat,track
paní,Ms
připravit,prepare
člen,member
vhodný,suitable
akce,action
přesto,yet
kam,where
krásný,beautiful
obraz,image
forma,form
období,period
byt,be
mnohem,much
činnost,activity
Jan,John
obec,village
přítel,friend
republika,republic
proces,process
skoro,almost
hráč,player
soud,court
napsat,write
výkon,performance
trvat,last
syn,son
materiál,material
rámec,framework
politický,political
poté,afterwards
sem,PULL
zajímavý,interesting
bůh,God
tvořit,to create
bývat,to live
model,model
věnovat,pay
skutečně,actually
vydat,issue
srdce,heart
postavit,to build
vlas,hair
Petr,Peter
autor,author
konečně,finally
láska,love
pražský,Prague
pomoc,Help
dodat,furnish
polovina,half
veřejný,public
nutný,necessary
dílo,work
schopný,capable
strom,tree
stránka,page
rád,order
vytvořit,create
příběh,story
zastavit,stop
jednoduchý,simple
vývoj,development
tvrdit,claim
společný,common
začátek,beginning
odejít,leave
pracovní,working
národní,national
zřejmě,apparently
domů,home
podpora,support
významný,significant
vzduch,air
vzniknout,to arise
místní,local
šest,six
zařízení,device
úřad,office
lékař,doctor
podoba,form
poprvé,first
klub,club
míra,rate
světový,global
součást,component
množství,amount
pohyb,movement
ředitel,director
volba,choice
názor,opinion
myšlenka,idea
německý,German
okamžik,moment
chybět,to miss
alespoň,at least
mimo,outside
teprve,only
síť,network
bývalý,former
plán,plan
zkušenost,experience
rameno,shoulder
úroveň,level
bát,to fear
jazyk,language
poznat,know
les,forest
chápat,understand
miliarda,billion
správný,right
krátký,short
pole,field
většinou,mostly
najednou,suddenly
divadlo,theater
letos,this year
pravý,right
prezident,president
zahrada,gardens
střední,medium
číst,read
nemocnice,HOSPITAL
připadat,seem
vliv,influence
samotný,alone
soutěž,competition
policie,POLICE
věk,age
včetně,including
široký,wide
životní,vital
pes,dog
zvíře,animal
použít,use
spousta,a lot
prst,finger
zapomenout,forget
smět,may
obchod,trade
půl,half
text,text
postup,procedure
ani,or
téma,topic
vedení,knowledge
líbit,to like
budova,building
ptát,to ask
telefon,phone
Jiří,George
koupit,buy
fungovat,work
plocha,flat
včera,yesterday
zvednout,lift
místnost,room
vybrat,choose
jistě,sure
minulý,last
uvidět,see
moderní,modern
blízký,close
dosáhnout,achieve
zhruba,roughly
dívka,girl
postel,bed
využít,to use
přinést,bring
rovněž,also
běžný,ordinary
osobní,personal
nabídka,offer
pomalu,slowly
obrovský,huge
zvláštní,special
krev,blood
výroba,production
neboť,because
hranice,limit
stěna,wall
rada,advice
slunce,sun
červený,red
celkový,total
jo,yeah
občas,sometimes
rychlost,speed
manžel,husband
řízení,management
dcera,daughter
finanční,financial
příští,next
hudba,music
příjemný,pleasant
kvalita,quality
přestat,stop
sestra,sister
jídlo,food
vůz,car
rychlý,quick
skutečný,real
milovat,love
obličej,face
představa,idea
dosud,yet
tvar,face
napadnout,attack
datum,date
takhle,like this
původní,original
zpátky,back
Brno,Brno
název,name
návrh,proposal
zrovna,just
hvězda,star
kolik,pin
tzv,so-called
dvacet,twenty
obvykle,usually
bratr,brother
náklad,cargo
pochopit,understand
duch,spirit
pacient,patient
kluk,boy
místo,place
jakýkoli,any
politika,policy
měnit,to change
třída,class
smlouva,bargain
prostředek,means
zelený,green
zajímat,interest
strach,fear
nacházet,to find
všimnout,to notice
odpověď,response
okolí,surroundings
onen,that
péče,care
přístup,access
řešit,to solve
organizace,organization
pustit,let go
vysvětlit,explain
Česko,Czechia
podobně,similarly
využívat,to use
obyvatel,resident
přijet,arrive
radost,joy
postupně,gradually
daný,given
ať,let
záda,back
metoda,method
mrtvý,dead
ministerstvo,ministry
silnice,road
poslat,send
rozhodně,definitely
student,student
ministr,minister
studium,study
přát,launder
ztratit,lose
postava,figure
ukazovat,show
mnohý,many
příklad,example
prohlásit,declare
list,blade
večer,evening
hora,mountain
zemřít,die
pomocí,help
otočit,turn
ráno,morning
šance,chance
ČR,Czech Republic
zeď,wall
velice,very
odpovídat,to answer
úspěch,success
šéf,boss
provoz,traffic
úkol,task
teplota,temperature
schopnost,ability
bezpečný,safe
prosit,sift
volný,free
sloužit,serve
pomáhat,assist
počítat,count
látka,substance
přidat,add
otevřený,open
počítač,computer
zůstávat,to stay
kámen,calculus
dnešní,today's
vnitřní,internal
hodit,throw
technologie,technology
jakýsi,some kind
pán,Mr
docela,quite
zmizet,disappear
majitel,owner
kuchyně,kitchen
pravidlo,rule
rozhodnutí,decision
nějak,somehow
doufat,hope
průběh,progress
rozumět,understand
spát,sleep
znít,sound
vycházet,to get along
dopis,letter
kus,piece
vyhrát,win
boj,fight
velikost,size
předtím,previously
host,guest
jednání,negotiation
projít,go through
městský,urban
fotografie,photo
sen,dream
uvědomit,to realize
zákazník,customer
aktivita,activity
historie,history
Martin,Martin
snímek,snapshot
banka,flask
událost,event
prvek,element
povrch,surface
kousek,piece
spojený,connected
loď,ship
dít,to happen
vysvětlovat,to explain
jezdit,to ride
Josef,Joseph
vracet,to return
ať,let
chyba,error
šťastný,happy
minulost,past
aspoň,at least
moře,sea
podnik,business
špatně,poorly
proud,current
snadno,easily
přicházet,come
spolupráce,cooperation
bavit,amuse
položit,lay
víno,wine
význam,importance
naprosto,absolutely
sedm,seven
jmenovat,appoint
kultura,culture
výzkum,research
vysoko,high
území,territory
vyprávět,tell
pozice,position
příležitost,opportunity
okamžitě,immediately
zaměstnanec,employee
letošní,this year's
konkrétní,specific
někde,somewhere
chovat,to breed
nabídnout,offer
příprava,preparation
Karel,Charles
čelo,forehead
týkat,to concern
večer,evening
závěr,conclusion
obsahovat,contain
přijmout,accept
ochrana,protection
vážně,seriously
půda,soil
zbytek,residue
pozornost,attention
máma,mom
papír,paper
trenér,coach
rozhovor,interview
umění,art
následující,following
předmět,subject
řeka,river
dětský,childlike
článek,article
stroj,machine
kůň,horse
aplikace,application
příroda,nature
výraz,expression
bolest,pain
veškerý,all
návštěva,visit
docházet,to run
podstata,essence
osm,eight
m,m
poměrně,relatively
chování,behavior
rozvoj,development
společně,together
chlapec,boy
celkem,total
obsah,contents
samý,alone
televize,TV
závod,race
připomínat,to remind
objekt,object
nástroj,tool
naučit,to teach
značka,mark
kůže,skin
pozorovat,observe
vloni,last year
mezinárodní,international
desítka,ten
nicméně,however
ven,out
tentokrát,this time
manželka,wife
přestože,even though
tradiční,traditional
zvuk,sound
vlna,wave
zavolat,call
Pavel,Paul
úspěšný,successful
technický,technical
dokud,until
bohužel,unfortunately
stupeň,degree
pohybovat,to move
táta,dad
výrazně,significantly
nést,bear
vzhledem,appearance
pamatovat,remember
umožňovat,to enable
deska,plate
voják,soldier
dolů,down
řeč,speech
vrstva,layer
modrý,blue
kilometr,kilometer
sto,hundred
univerzita,university
čistý,net
provést,to carry out
proto,therefore
úprava,treatment
kamarád,friend
jakmile,once
chuť,taste
rodinný,family
speciální,special
živý,live
těšit,to enjoy
doktor,doctor
výběr,selection
Německo,Germany
s,with
vzpomínat,to remember
štěstí,luck
úsměv,smile
vlastnost,property
kvalitní,quality
dovolit,allow
jednotka,unit
mluvčí,spokesman
obchodní,commercial
tolik,so many
nikoli,not
růst,growth
rostlina,plant
ekonomický,economic
ačkoli,although
zdravotní,medical
Tomáš,Thomas
konstrukce,construction
ohled,regard
styl,style
vůči,towards
zlatý,gold
kontrola,control
klient,client
fakt,fact
hluboký,deep
stavební,construction
pouhý,mere
důsledek,consequence
doprava,transport
věda,science
ústa,mouth
vnímat,perceive
dostávat,receive
teorie,theory
pokusit,to try
bydlet,stay
zástupce,representative
verze,version
obor,field
stávat,to become
kolega,colleague
vytvářet,create
žák,disciple
bohatý,rich
oblíbený,favorite
řidič,driver
historický,historically
soubor,file
tlak,pressure
klid,peace
klasický,classical
usmát,smile
sezona,season
výrazný,significant
kapitola,chapter
podat,to submit
očekávat,expect
chystat,to prepare
obrátit,to turn
pořádek,order
výrobce,manufacturer
škoda,damage
poslouchat,listen
kancelář,office
vytáhnout,pull out
zaplatit,pay
požadavek,requirement
